"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_PommdoenerBox_DN","Pommdoener","Pommdoener","Pommdöner","Pommdöner","Понмдёнер","Pommdöner","Pommdoener","Pommdoener","Pommdoener","Pommdöner","ポムドナー","Pommdoener","Pommdöner",
"STR_CookZ_PommdoenerBox_DS","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling.","Hranolky mit Dönerfleisch, všechno zabalené v boxu. Jednoduché, ale chutné a syté jídlo.","Pommes mit Dönerfleisch, alles in einer Box. Ein einfaches, solides Gericht, das lecker und sättigend ist.","Донер с картошкой фри, все в одной коробке. Простое, но вкусное и сытное блюдо.","Frytki z mięsem döner, wszystko włożone do pudełka. Proste, smaczne i sycące danie.","Patatine fritte con carne di döner, il tutto confezionato in una scatola. Un pasto semplice, ma gustoso e saziante.","Patatas fritas con carne de döner, todo empaquetado en una caja. Una comida simple, sabrosa y sustanciosa.","Frites garnies de viande de kebap, le tout dans une boîte. Un repas simple, savoureux et copieux.","薯条上面加了烤肉，全部装入盒子中。简单、实用的美味餐，既好吃又令人满足。","ドネル肉をのせたフライドポテト、すべてがボックスに詰め込まれています。シンプルでありながら、味も満足感もある食事です。","Fritas cobertas com carne de döner, tudo embalado em uma caixa. Uma refeição simples, sem frescura, que é saborosa e satisfatória.","薯条上面加了烤肉，全部装入盒子中。简单、实用的美味餐，既好吃又令人满足。",
"STR_CookZ_PommdoenerBox_Opened_DS","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Fries topped with döner meat, all packed into a box. A simple, no-nonsense meal that’s both tasty and filling. Eat up before it spoils.","Hranolky mit Dönerfleisch, všechno zabalené v boxu. Jednoduché, ale chutné a syté jídlo. Snězte to, než se zkazí.","Pommes mit Dönerfleisch, alles in einer Box. Ein einfaches, solides Gericht, das lecker und sättigend ist. Nach dem Öffnen rasch verzehren.","Донер с картошкой фри, все в одной коробке. Простое, но вкусное и сытное блюдо. Съешьте, пока не испортилось.","Frytki z mięsem döner, wszystko włożone do pudełka. Proste, smaczne i sycące danie. Zjedz, zanim się zepsuje.","Patatine fritte con carne di döner, il tutto confezionato in una scatola. Un pasto semplice, ma gustoso e saziante. Mangia prima che vada a male.","Patatas fritas con carne de döner, todo empaquetado en una caja. Una comida simple, sabrosa y sustanciosa. Cómelo antes de que se estropee.","Frites garnies de viande de kebap, le tout dans une boîte. Un repas simple, savoureux et copieux. Mangez avant que cela ne soit périmé.","薯条上面加了烤肉，全部装入盒子中。简单、实用的美味餐，既好吃又令人满足。 在变质之前吃掉。","ドネル肉をのせたフライドポテト、すべてがボックスに詰め込まれています。シンプルでありながら、味も満足感もある食事です。 腐る前に食べてください。","Fritas cobertas com carne de döner, tudo embalado em uma caixa. Uma refeição simples, sem frescura, que é saborosa e satisfatória. Coma antes que estrague.","薯条上面加了烤肉，全部装入盒子中。简单、实用的美味餐，既好吃又令人满足。 在变质之前吃掉。",
"STR_CookZ_BangersAndMashBox_DN","Bangers And Mash","Bangers And Mash","Klobásy a bramborová kaše","Bratwürste mit Kartoffelpüree","Колбаски с картофельным пюре","Kiełbaski z puree ziemniaczanym","Salsicce e purè","Salchichas con puré de patatas","Saucisses et purée de pommes de terre","香肠配土豆泥","ソーセージとマッシュポテト","Salsichas com purê de batata","香肠配土豆泥",
"STR_CookZ_BangersAndMashBox_DS","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up.","Klobásy podávané s krémovou bramborovou kaší. Klasické a jednoduché jídlo, které vás zasytí.","Bratwürste, serviert mit cremigem Kartoffelpüree. Ein klassisches und einfaches Gericht, das satt macht.","Колбаски, поданные с кремовым картофельным пюре. Классическое и простое утешающее блюдо, которое насытит.","Kiełbaski podane z kremowym puree ziemniaczanym. Klasyczne, proste jedzenie, które cię nasyci.","Salsicce servite con purè di patate cremoso. Un classico e semplice comfort food che ti riempie.","Salchichas servidas con puré de patatas cremoso. Un plato clásico y simple que te llena.","Saucisses servies avec une purée de pommes de terre crémeuse. Un plat classique et simple qui vous rassasie.","香肠配上奶油土豆泥。一道经典简单的舒适食品，吃了让人满足。","クリーミーなマッシュポテトと一緒に提供されるソーセージ。クラシックでシンプルなコンフォートフードで、満腹感を与えます。","Salsichas servidas com purê de batata cremoso. Um prato clássico e simples que vai te encher.","香肠配上奶油土豆泥。一道经典简单的舒适食品，吃了让人满足。",
"STR_CookZ_BangersAndMashBox_Opened_DS","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Sausages served with creamy mashed potatoes. A classic and simple comfort food that fills you up. Eat up before it spoils.","Klobásy podávané s krémovou bramborovou kaší. Klasické a jednoduché jídlo, které vás zasytí. Snězte to, než se zkazí.","Bratwürste, serviert mit cremigem Kartoffelpüree. Ein klassisches und einfaches Gericht, das satt macht. Nach dem Öffnen rasch verzehren.","Колбаски, поданные с кремовым картофельным пюре. Классическое и простое утешающее блюдо, которое насытит. Съешьте, пока не испортилось.","Kiełbaski podane z kremowym puree ziemniaczanym. Klasyczne, proste jedzenie, które cię nasyci. Zjedz, zanim się zepsuje.","Salsicce servite con purè di patate cremoso. Un classico e semplice comfort food che ti riempie. Mangia prima che vada a male.","Salchichas servidas con puré de patatas cremoso. Un plato clásico y simple que te llena. Cómelo antes de que se estropee.","Saucisses servies avec une purée de pommes de terre crémeuse. Un plat classique et simple qui vous rassasie. Mangez avant que cela ne soit périmé.","香肠配上奶油土豆泥。一道经典简单的舒适食品，吃了让人满足。 在变质之前吃掉。","クリーミーなマッシュポテトと一緒に提供されるソーセージ。クラシックでシンプルなコンフォートフードで、満腹感を与えます。 腐る前に食べてください。","Salsichas servidas com purê de batata cremoso. Um prato clássico e simples que vai te encher. Coma antes que estrague.","香肠配上奶油土豆泥。一道经典简单的舒适食品，吃了让人满足。 在变质之前吃掉。",
"STR_CookZ_CurrywurstBox_DN","Currywurst","Currywurst","Currywurst","Currywurst","Курривурст","Currywurst","Currywurst","Currywurst","Currywurst","咖喱香肠","カリーブルスト","Currywurst","咖喱香肠",
"STR_CookZ_CurrywurstBox_DS","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor.","Grilovaná klobása, pokrytá pikantní curry omáčkou. Oblíbená, rychlá svačina plná chuti.","Eine Bratwurst, bedeckt mit einer würzigen Currysauce. Ein beliebter, schneller Snack voller Geschmack.","Гриль-колбаска, покрытая пикантным карри соусом. Популярная, быстрая закуска с насыщенным вкусом.","Grillowana kiełbasa polana pikantnym sosem curry. Popularna, szybka przekąska pełna smaku.","Salsiccia alla griglia con salsa al curry piccante. Uno spuntino veloce e popolare, ricco di sapore.","Una salchicha a la parrilla cubierta con una salsa de curry picante. Es un bocadillo rápido y popular, lleno de sabor.","Une saucisse grillée garnie d'une sauce au curry piquante. Un encas rapide et populaire, plein de saveur.","烤香肠配上浓郁的咖喱酱。这是一个受欢迎的快捷小吃，味道十足。","グリルされたソーセージにピリッとしたカレーソースをかけたもの。人気のある速攻スナックで、味わい深い。","Uma salsicha grelhada coberta com molho de curry picante. Um lanche rápido e popular, cheio de sabor.","烤香肠配上浓郁的咖喱酱。这是一个受欢迎的快捷小吃，味道十足。",
"STR_CookZ_CurrywurstBox_Opened_DS","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor. Eat up before it spoils.","A grilled sausage topped with a tangy curry sauce. It’s a popular, quick snack that’s packed with flavor. Eat up before it spoils.","Grilovaná klobása, pokrytá pikantní curry omáčkou. Oblíbená, rychlá svačina plná chuti. Snězte to, než se zkazí.","Eine Bratwurst, bedeckt mit einer würzigen Currysauce. Ein beliebter, schneller Snack voller Geschmack. Nach dem Öffnen rasch verzehren.","Гриль-колбаска, покрытая пикантным карри соусом. Популярная, быстрая закуска с насыщенным вкусом. Съешьте, пока не испортилось.","Grillowana kiełbasa polana pikantnym sosem curry. Popularna, szybka przekąska pełna smaku. Zjedz, zanim się zepsuje.","Salsiccia alla griglia con salsa al curry piccante. Uno spuntino veloce e popolare, ricco di sapore. Mangia prima che vada a male.","Una salchicha a la parrilla cubierta con una salsa de curry picante. Es un bocadillo rápido y popular, lleno de sabor. Cómelo antes de que se estropee.","Une saucisse grillée garnie d'une sauce au curry piquante. Un encas rapide et populaire, plein de saveur. Mangez avant que cela ne soit périmé.","烤香肠配上浓郁的咖喱酱。这是一个受欢迎的快捷小吃，味道十足。 在变质之前吃掉。","グリルされたソーセージにピリッとしたカレーソースをかけたもの。人気のある速攻スナックで、味わい深い。 腐る前に食べてください。","Uma salsicha grelhada coberta com molho de curry picante. Um lanche rápido e popular, cheio de sabor. Coma antes que estrague.","烤香肠配上浓郁的咖喱酱。这是一个受欢迎的快捷小吃，味道十足。 在变质之前吃掉。",
"STR_CookZ_StuffedMushroomsBox_DN","Stuffed Mushrooms","Stuffed Mushrooms","Plněné houby","Gefüllte Pilze","Фаршированные грибы","Faszerowane grzyby","Funghi ripieni","Champiñones rellenos","Champignons farcis","酿蘑菇","詰め物をしたキノコ","Cogumelos recheados","酿蘑菇",
"STR_CookZ_StuffedMushroomsBox_DS","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer.","Jemné houby plněné roztaveným sýrem. Malé, chutné jídlo, ideální jako svačina nebo předkrm.","Zarte Pilze, gefüllt mit geschmolzenem Käse. Ein kleines, geschmackvolles Gericht, das perfekt als Snack oder Vorspeise dient.","Нежные грибы, фаршированные расплавленным сыром. Маленькое, вкусное блюдо, идеально подходящее как закуска или аперитив.","Miękkie grzyby faszerowane roztopionym serem. Małe, smaczne danie, idealne jako przekąska lub przystawka.","Funghi teneri ripieni di formaggio fuso. Un piccolo piatto saporito, perfetto come spuntino o antipasto.","Champiñones tiernos rellenos de queso derretido. Un pequeño y sabroso plato perfecto como bocadillo o aperitivo.","Champignons tendres farcis de fromage fondu. Un petit plat savoureux, parfait comme encas ou entrée.","嫩蘑菇里塞满了融化的奶酪。一个小巧、美味的菜肴，适合作为小吃或开胃菜。","柔らかいキノコに溶けたチーズを詰めました。軽食や前菜にぴったりの小さな美味しい料理です。","Cogumelos tenros recheados com queijo derretido. Um prato pequeno e saboroso, perfeito como lanche ou aperitivo.","嫩蘑菇里塞满了融化的奶酪。一个小巧、美味的菜肴，适合作为小吃或开胃菜。",
"STR_CookZ_StuffedMushroomsBox_Opened_DS","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Tender mushrooms filled with melted cheese. A small, flavorful dish that’s perfect as a snack or appetizer. Eat up before it spoils.","Jemné houby plněné roztaveným sýrem. Malé, chutné jídlo, ideální jako svačina nebo předkrm. Snězte to, než se zkazí.","Zarte Pilze, gefüllt mit geschmolzenem Käse. Ein kleines, geschmackvolles Gericht, das perfekt als Snack oder Vorspeise dient. Nach dem Öffnen rasch verzehren.","Нежные грибы, фаршированные расплавленным сыром. Маленькое, вкусное блюдо, идеально подходящее как закуска или аперитив. Съешьте, пока не испортилось.","Miękkie grzyby faszerowane roztopionym serem. Małe, smaczne danie, idealne jako przekąska lub przystawka. Zjedz, zanim się zepsuje.","Funghi teneri ripieni di formaggio fuso. Un piccolo piatto saporito, perfetto come spuntino o antipasto. Mangia prima che vada a male.","Champiñones tiernos rellenos de queso derretido. Un pequeño y sabroso plato perfecto como bocadillo o aperitivo. Cómelo antes de que se estropee.","Champignons tendres farcis de fromage fondu. Un petit plat savoureux, parfait comme encas ou entrée. Mangez avant que cela ne soit périmé.","嫩蘑菇里塞满了融化的奶酪。一个小巧、美味的菜肴，适合作为小吃或开胃菜。 在变质之前吃掉。","柔らかいキノコに溶けたチーズを詰めました。軽食や前菜にぴったりの小さな美味しい料理です。 腐る前に食べてください。","Cogumelos tenros recheados com queijo derretido. Um prato pequeno e saboroso, perfeito como lanche ou aperitivo. Coma antes que estrague.","嫩蘑菇里塞满了融化的奶酪。一个小巧、美味的菜肴，适合作为小吃或开胃菜。 在变质之前吃掉。",
"STR_CookZ_RabbitRoastBox_DN","Rabbit Roast","Rabbit Roast","Králík pečený","Kaninchenbraten","Запечённый кролик","Pieczony królik","Arrosto di coniglio","Conejo asado","Rôti de lapin","烤兔肉","ローストウサギ","Coelho assado","烤兔肉",
"STR_CookZ_RabbitRoastBox_DS","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients.","Pečené králičí stehna, vařená s paprikou a rajčaty. Bohaté, vydatné jídlo z jednoduchých surovin.","Kaninchenkeulen, gebraten mit Paprika und Tomaten. Ein kräftiges Gericht aus einfachen Zutaten.","Запечённые кроличьи ножки, приготовленные с перцем и помидорами. Сытное, насыщенное блюдо.","Pieczone nogi królika, gotowane z papryką i pomidorami. Bogate, sycące danie z prostych składników.","Cosce di coniglio arrostite cotte con peperoni e pomodori. Un pasto ricco e sostanzioso con ingredienti semplici.","Piernas de conejo asadas cocinadas con pimientos y tomates. Una comida rica y abundante con ingredientes simples.","Cuisses de lapin rôties cuites avec des poivrons et des tomates. Un repas riche et copieux avec des ingrédients simples.","烤兔腿与彩椒和番茄一同烹饪。一道丰富而丰盛的菜肴，采用简单的食材。","ローストしたウサギの足をピーマンとトマトで調理。シンプルな食材を使った、豊かでボリューム満点の料理です。","Pernas de coelho assadas cozidas com pimentões e tomates. Uma refeição rica e reconfortante com ingredientes simples.","烤兔腿与彩椒和番茄一同烹饪。一道丰富而丰盛的菜肴，采用简单的食材。",
"STR_CookZ_RabbitRoastBox_Opened_DS","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Roasted rabbit legs cooked with bell peppers and tomatoes. A rich, hearty meal with simple ingredients. Eat up before it spoils.","Pečené králičí stehna, vařená s paprikou a rajčaty. Bohaté, vydatné jídlo z jednoduchých surovin. Snězte to, než se zkazí.","Kaninchenkeulen, gebraten mit Paprika und Tomaten. Ein kräftiges Gericht aus einfachen Zutaten. Nach dem Öffnen rasch verzehren.","Запечённые кроличьи ножки, приготовленные с перцем и помидорами. Сытное, насыщенное блюдо. Съешьте, пока не испортилось.","Pieczone nogi królika, gotowane z papryką i pomidorami. Bogate, sycące danie z prostych składników. Zjedz, zanim się zepsuje.","Cosce di coniglio arrostite cotte con peperoni e pomodori. Un pasto ricco e sostanzioso con ingredienti semplici. Mangia prima che vada a male.","Piernas de conejo asadas cocinadas con pimientos y tomates. Una comida rica y abundante con ingredientes simples. Cómelo antes de que se estropee.","Cuisses de lapin rôties cuites avec des poivrons et des tomates. Un repas riche et copieux avec des ingrédients simples. Mangez avant que cela ne soit périmé.","烤兔腿与彩椒和番茄一同烹饪。一道丰富而丰盛的菜肴，采用简单的食材。 在变质之前吃掉。","ローストしたウサギの足をピーマンとトマトで調理。シンプルな食材を使った、豊かでボリューム満点の料理です。 腐る前に食べてください。","Pernas de coelho assadas cozidas com pimentões e tomates. Uma refeição rica e reconfortante com ingredientes simples. Coma antes que estrague.","烤兔腿与彩椒和番茄一同烹饪。一道丰富而丰盛的菜肴，采用简单的食材。 在变质之前吃掉。",
"STR_CookZ_NuggiesAndFriesBox_DN","Nuggies And Fries","Nuggies And Fries","Nuggets a hranolky","Hähnchennuggets und Pommes","Наггетсы и картофель фри","Nuggetsy i frytki","Nuggets e patatine fritte","Nuggets y patatas fritas","Nuggets de poulet et frites","鸡块和薯条","チキンナゲットとフライドポテト","Nuggets de frango e batatas fritas","鸡块和薯条",
"STR_CookZ_NuggiesAndFriesBox_DS","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist.","Křupavé kuřecí nuggets podávané s hranolkami. Rychlé a syté jídlo, kterému nelze odolat.","Knusprige Hähnchennuggets, serviert mit Pommes. Ein schnelles, sättigendes Essen, das immer geht.","Хрустящие куриные наггетсы с картофелем фри. Быстрое и сытное блюдо, от которого трудно отказаться.","Chrupiące nuggetsy z kurczaka podane z frytkami. Szybka, sycąca potrawa, której trudno się oprzeć.","Nuggets di pollo croccanti serviti con patatine fritte. Un pasto veloce e sostanzioso, difficile da resistere.","Nuggets de pollo crujientes servidos con patatas fritas. Una comida rápida y saciante, difícil de resistir.","Nuggets de poulet croustillants servis avec des frites. Un repas rapide et rassasiant auquel il est difficile de résister.","脆皮鸡块配薯条。快速又满足的美味餐，令人难以抗拒。","カリカリのチキンナゲットにフライドポテトを添えて。素早くて満足感のある料理で、食べ過ぎてしまいます。","Nuggets de frango crocantes servidos com batatas fritas. Uma refeição rápida e farta, difícil de resistir.","脆皮鸡块配薯条。快速又满足的美味餐，令人难以抗拒。",
"STR_CookZ_NuggiesAndFriesBox_Opened_DS","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Crispy chicken nuggets served with fries. A quick, filling meal that’s hard to resist. Eat up before it spoils.","Křupavé kuřecí nuggets podávané s hranolkami. Rychlé a syté jídlo, kterému nelze odolat. Snězte to, než se zkazí.","Knusprige Hähnchennuggets, serviert mit Pommes. Ein schnelles, sättigendes Essen, das immer geht. Nach dem Öffnen rasch verzehren.","Хрустящие куриные наггетсы с картофелем фри. Быстрое и сытное блюдо, от которого трудно отказаться. Съешьте, пока не испортилось.","Chrupiące nuggetsy z kurczaka podane z frytkami. Szybka, sycąca potrawa, której trudno się oprzeć. Zjedz, zanim się zepsuje.","Nuggets di pollo croccanti serviti con patatine fritte. Un pasto veloce e sostanzioso, difficile da resistere. Mangia prima che vada a male.","Nuggets de pollo crujientes servidos con patatas fritas. Una comida rápida y saciante, difícil de resistir. Cómelo antes de que se estropee.","Nuggets de poulet croustillants servis avec des frites. Un repas rapide et rassasiant auquel il est difficile de résister. Mangez avant que cela ne soit périmé.","脆皮鸡块配薯条。快速又满足的美味餐，令人难以抗拒。 在变质之前吃掉。","カリカリのチキンナゲットにフライドポテトを添えて。素早くて満足感のある料理で、食べ過ぎてしまいます。 腐る前に食べてください。","Nuggets de frango crocantes servidos com batatas fritas. Uma refeição rápida e farta, difícil de resistir. Coma antes que estrague.","脆皮鸡块配薯条。快速又满足的美味餐，令人难以抗拒。 在变质之前吃掉。",
"STR_CookZ_SchnitzelBox_DN","Schnitzel","Schnitzel","Svíčková","Schnitzel","Шницель","Sznycel","Cotoletta","Escalope","Escalope","炸肉排","シュニッツェル","Schnitzel","炸肉排",
"STR_CookZ_SchnitzelBox_DS","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time.","Tenké plátky masa, obalené a osmažené do zlatova. Jednoduché jídlo, které vždy uspokojí.","Dünn geschnittenes Fleisch, paniert und goldbraun gebraten. Ein unkompliziertes Gericht, das immer satt macht.","Тонкие ломтики мяса, обжаренные в панировке до золотистой корочки. Простое блюдо, которое всегда радует.","Cienkie kawałki mięsa, panierowane i smażone na złoty chrupiący kolor. Proste danie, które zawsze zaspokaja.","Carne affettata sottilmente, impanata e fritta fino a doratura. Un pasto semplice che soddisfa ogni volta.","Carne finamente rebanada, empanada y frita hasta quedar dorada y crujiente. Una comida sin complicaciones que siempre satisface.","Viande tranchée finement, panée et frite jusqu'à obtenir une croûte dorée. Un plat simple qui satisfait à chaque fois.","薄切肉片，裹上面包屑并炸至金黄酥脆。简单的餐点，每次都能满足。","薄切りの肉をパン粉で衣をつけて、黄金色に揚げたもの。シンプルで満足感のある料理です。","Carne finamente fatiada, empanada e frita até ficar crocante e dourada. Uma refeição simples que sempre satisfaz.","薄切肉片，裹上面包屑并炸至金黄酥脆。简单的餐点，每次都能满足。",
"STR_CookZ_SchnitzelBox_Opened_DS","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Thinly sliced meat, breaded and fried to a golden crisp. A no-fuss meal that satisfies every time. Eat up before it spoils.","Tenké plátky masa, obalené a osmažené do zlatova. Jednoduché jídlo, které vždy uspokojí. Snězte to, než se zkazí.","Dünn geschnittenes Fleisch, paniert und goldbraun gebraten. Ein unkompliziertes Gericht, das immer satt macht. Nach dem Öffnen rasch verzehren.","Тонкие ломтики мяса, обжаренные в панировке до золотистой корочки. Простое блюдо, которое всегда радует. Съешьте, пока не испортилось.","Cienkie kawałki mięsa, panierowane i smażone na złoty chrupiący kolor. Proste danie, które zawsze zaspokaja. Zjedz, zanim się zepsuje.","Carne affettata sottilmente, impanata e fritta fino a doratura. Un pasto semplice che soddisfa ogni volta. Mangia prima che vada a male.","Carne finamente rebanada, empanada y frita hasta quedar dorada y crujiente. Una comida sin complicaciones que siempre satisface. Cómelo antes de que se estropee.","Viande tranchée finement, panée et frite jusqu'à obtenir une croûte dorée. Un plat simple qui satisfait à chaque fois. Mangez avant que cela ne soit périmé.","薄切肉片，裹上面包屑并炸至金黄酥脆。简单的餐点，每次都能满足。 在变质之前吃掉。","薄切りの肉をパン粉で衣をつけて、黄金色に揚げたもの。シンプルで満足感のある料理です。 腐る前に食べてください。","Carne finamente fatiada, empanada e frita até ficar crocante e dourada. Uma refeição simples que sempre satisfaz. Coma antes que estrague.","薄切肉片，裹上面包屑并炸至金黄酥脆。简单的餐点，每次都能满足。 在变质之前吃掉。",
"STR_CookZ_BiffALaNelsonBox_DN","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Бифф а-ля Нельсон","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","Biff à la Nelson","比夫·阿·拉·尼尔森","ビフ・ア・ラ・ネルソン","Biff à la Nelson","比夫·阿·拉·尼尔森",
"STR_CookZ_BiffALaNelsonBox_DS","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor.","Křehké maso podávané s bramborami a bohatou pivní omáčkou. Jednoduché ingredience, ale plné chuti.","Zartes Fleisch, serviert mit Kartoffeln und einer würzigen Biersoße. Einfache Zutaten, aber voller Geschmack.","Нежное мясо, поданное с картофелем и насыщенным пивным соусом. Простые ингредиенты, но полные вкуса.","Soczyste mięso podane z ziemniakami i bogatym sosem piwnym. Proste składniki, ale pełne smaku.","Carne tenera servita con patate e una ricca salsa alla birra. Ingredienti semplici, ma ricchi di sapore.","Carne tierna servida con patatas y una rica salsa de cerveza. Ingredientes sencillos, pero llenos de sabor.","Viande tendre servie avec des pommes de terre et une riche sauce à la bière. Des ingrédients simples, mais pleins de saveur.","嫩肉配土豆和浓郁的啤酒酱。简单的食材，但味道十足。","柔らかい肉をジャガイモと豊かなビールソースで提供。シンプルな食材ながら、風味豊かです。","Carne tenra servida com batatas e um molho de cerveja rico. Ingredientes simples, mas cheios de sabor.","嫩肉配土豆和浓郁的啤酒酱。简单的食材，但味道十足。",
"STR_CookZ_BiffALaNelsonBox_Opened_DS","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Tender meat served with potatoes and a rich beer sauce. Simple ingredients, but packed with flavor. Eat up before it spoils.","Křehké maso podávané s bramborami a bohatou pivní omáčkou. Jednoduché ingredience, ale plné chuti. Snězte to, než se zkazí.","Zartes Fleisch, serviert mit Kartoffeln und einer würzigen Biersoße. Einfache Zutaten, aber voller Geschmack. Nach dem Öffnen rasch verzehren.","Нежное мясо, поданное с картофелем и насыщенным пивным соусом. Простые ингредиенты, но полные вкуса. Съешьте, пока не испортилось.","Soczyste mięso podane z ziemniakami i bogatym sosem piwnym. Proste składniki, ale pełne smaku. Zjedz, zanim się zepsuje.","Carne tenera servita con patate e una ricca salsa alla birra. Ingredienti semplici, ma ricchi di sapore. Mangia prima che vada a male.","Carne tierna servida con patatas y una rica salsa de cerveza. Ingredientes sencillos, pero llenos de sabor. Cómelo antes de que se estropee.","Viande tendre servie avec des pommes de terre et une riche sauce à la bière. Des ingrédients simples, mais pleins de saveur. Mangez avant que cela ne soit périmé.","嫩肉配土豆和浓郁的啤酒酱。简单的食材，但味道十足。 在变质之前吃掉。","柔らかい肉をジャガイモと豊かなビールソースで提供。シンプルな食材ながら、風味豊かです。 腐る前に食べてください。","Carne tenra servida com batatas e um molho de cerveja rico. Ingredientes simples, mas cheios de sabor. Coma antes que estrague.","嫩肉配土豆和浓郁的啤酒酱。简单的食材，但味道十足。 在变质之前吃掉。",
"STR_CookZ_PorkAndAppleBox_DN","Pork And Apple","Pork And Apple","Vepřo s jablečnou omáčkou","Schweinehaxe mit Apfelsoße","Свинина с яблочным соусом","Wieprzowina z sosem jabłkowym","Maiale con salsa di mele","Cerdo con salsa de manzana","Porc avec sauce aux pommes","猪肉与苹果酱","豚肉とアップルソース","Porco com molho de maçã","猪肉与苹果酱",
"STR_CookZ_PorkAndAppleBox_DS","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Roasted pork served with a tangy apple sauce and hearty potatoes. A rich and rustic meal with a touch of sweetness.","Pečené vepřo podávané s pikantní jablečnou omáčkou a sytými bramborami. Bohaté a rustikální jídlo s nádechem sladkosti.","Knusprige Schweinehaxe serviert mit einer fruchtigen Apfelsoße und kräftigen Kartoffeln. Ein reichhaltiges, rustikales Gericht mit einer süßen Note.","Запечённая свинина, поданная с острым яблочным соусом и сытными картофелями. Богатое и деревенское блюдо с ноткой сладости.","Pieczona wieprzowina podana z pikantnym sosem jabłkowym i sycącymi ziemniakami. Bogate i rustykalne danie z nutą słodyczy.","Maiale arrosto servito con salsa di mele piccante e patate sostanziose. Un pasto ricco e rustico con un tocco di dolcezza.","Cerdo asado servido con una salsa de manzana picante y patatas contundentes. Una comida rica y rústica con un toque de dulzura.","Porc rôti servi avec une sauce aux pommes acidulée et des pommes de terre copieuses. Un repas riche et rustique avec une touche de douceur.","烤猪肉配酸甜的苹果酱和丰盛的土豆。一道丰富而质朴的菜肴，带有一丝甜味。","ローストした豚肉に、ピリッとしたアップルソースとボリューム満点のジャガイモを添えて。リッチで素朴な料理で、甘さがほんのり感じられます。","Porco assado servido com molho de maçã azedo e batatas robustas. Uma refeição rica e rústica com um toque de doçura.","烤猪肉配酸甜的苹果酱和丰盛的土豆。一道丰富而质朴的菜肴，带有一丝甜味。",
